,Date,Sector,Violation_nature,People_impacted,Data_type,Sensitive_data,Incident_origin,Incident_cause,People_informed
785,2019-11,Public_Administration,Perte de la confidentialité,50,Civil-Contact-Finance-Economic,,Hacking - Malware -Phishing,External-Malicious,They_will_not
786,2019-11,Scientific/Specialized/Technical,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...)",,Equipment Lost or Stolen,External-Malicious,They_will_not
787,2019-11,Arts-Recreational,Perte de la confidentialité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,They_will
788,2019-11,Information/Communication,Perte de la confidentialité,5000,Civil-Contact,,Publication mistake,Internal-Accidental,TBD
789,2019-11,Public_Administration,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Recipient mistake,Internal-Accidental,They_will
790,2019-11,Other_services,"Perte de la confidentialité,Perte de la disponibilité",5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.)",Oui,Hacking - Malware -Phishing,External-Malicious,They_will
791,2019-11,Public_Administration,Perte de la confidentialité,5,TBD,,Equipment Lost or Stolen,Unknown,TBD
792,2019-11,Public_Administration,Perte de la confidentialité,50,Civil-Contact,Oui,Other,Other,They_will_not
793,2019-11,Scientific/Specialized/Technical,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Recipient mistake,Internal-Accidental,TBD
794,2019-11,Administrative/Support_services,Perte de la confidentialité,5000,Civil-Contact-Finance-Economic,Oui,Recipient mistake,Internal-Accidental,They_will
795,2019-10,Other_services,"Perte de l'intégrité,Perte de la disponibilité",5000,"Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,La violation concerne d'autres données",,Hacking - Malware -Phishing,External-Malicious,They_will
796,2019-10,Finance/Insurance,Perte de la confidentialité,300,Civil-Contact,,Publication mistake,"Acte interne accidentel,Inconnu",They_will_not
797,2019-10,Administrative/Support_services,Perte de la confidentialité,5,Civil-Contact,,Hacking - Malware -Phishing,External-Malicious,TBD
798,2019-10,Scientific/Specialized/Technical,"Perte de la confidentialité,Perte de l'intégrité",50,Civil-Contact,,Données de la mauvaise personne affichées sur le portail du client,External-Accidental,They_will_not
799,2019-10,Public_Administration,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,La violation concerne d'autres données",Oui,Hacking - Malware -Phishing,External-Malicious,They_will_not
800,2019-10,Health,Perte de la confidentialité,300,TBD,,Hacking - Malware -Phishing,External-Malicious,TBD
801,2019-10,Public_Administration,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données de localisation,Données relatives à des infractions, condamnations, mesures de sûreté",Oui,Hacking - Malware -Phishing,External-Malicious,Yes
802,2019-10,Finance/Insurance,Perte de la disponibilité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",Oui,Hacking - Malware -Phishing,Unknown,TBD
803,2019-10,Transport/Warehousing,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,"Données de la mauvaise personne affichées sur le portail du client,Données personnelles envoyées à un mauvais destinataire",Internal-Accidental,They_will
804,2019-10,Scientific/Specialized/Technical,Perte de la confidentialité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,"Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage,Autre","Acte externe malveillant,Acte externe accidentel",Yes
805,2019-10,Manufacturing,Perte de la confidentialité,5000,Civil-Contact-Access,,Hacking - Malware -Phishing,External-Malicious,They_will_not
806,2019-10,Health,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",Oui,Other,Internal-Malicious,Yes
807,2019-10,Public_Administration,Perte de la disponibilité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,"Papier perdu, volé ou laissé accessible dans un endroit non sécurisé","Acte interne malveillant,Acte interne accidentel",TBD
808,2019-10,Commerce,Perte de la disponibilité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données relatives à des infractions, condamnations, mesures de sûreté,Les données concernées ne sont pas connues pour le moment",,Hacking - Malware -Phishing,Unknown,Yes
809,2019-10,Administrative/Support_services,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),La violation concerne d'autres données",,Courrier perdu ou ouvert avant d'être retourné à l'envoyeur,Other,TBD
810,2019-10,Scientific/Specialized/Technical,Perte de la confidentialité,5000,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Publication mistake,External-Accidental,Yes
811,2019-10,Electricity/Gas/Steam/AC,Perte de la confidentialité,50,Civil-Contact,,Other,Other,They_will_not
812,2019-10,Commerce,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données de localisation",Oui,Hacking - Malware -Phishing,External-Malicious,They_will
813,2019-10,Commerce,Perte de la disponibilité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,They_will_not
814,2019-10,Other_services,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.)",,Hacking - Malware -Phishing,External-Malicious,Yes
815,2019-10,Commerce,Perte de la confidentialité,5,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,They_will
816,2019-10,Commerce,Perte de la disponibilité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,They_will_not
817,2019-10,Scientific/Specialized/Technical,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Données relatives à des infractions, condamnations, mesures de sûreté",,Equipment Lost or Stolen,External-Malicious,They_will_not
818,2019-10,Scientific/Specialized/Technical,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Hacking - Malware -Phishing,External-Malicious,Yes
819,2019-10,Arts-Recreational,Perte de la confidentialité,300,Contact,,Recipient mistake,Internal-Accidental,Yes
820,2019-10,Public_Administration,Perte de la confidentialité,5,Civil-Contact,,Other,Other,TBD
821,2019-10,Real_Estate,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.)",,Other,Internal-Malicious,They_will
822,2019-10,Manufacturing,Perte de la confidentialité,50,"Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Publication mistake,Internal-Accidental,They_will
823,2019-10,Manufacturing,Perte de la disponibilité,5,"Les données concernées ne sont pas connues pour le moment,La violation concerne d'autres données",,"Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage,Autre",External-Malicious,TBD
824,2019-10,Information/Communication,Perte de la confidentialité,300,"Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Publication mistake,Other,Yes
825,2019-10,Information/Communication,Perte de la confidentialité,>5000,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Hacking - Malware -Phishing,External-Malicious,They_will
826,2019-10,Transport/Warehousing,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,"Données de la mauvaise personne affichées sur le portail du client,Données personnelles envoyées à un mauvais destinataire",Internal-Accidental,They_will
827,2019-10,Public_Administration,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,Other,External-Accidental,They_will
828,2019-10,Information/Communication,Perte de la confidentialité,>5000,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Publication mistake,Internal-Accidental,Yes
829,2019-10,Finance/Insurance,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",Oui,Recipient mistake,Internal-Accidental,Yes
830,2019-10,Public_Administration,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",Oui,Other,Internal-Accidental,TBD
831,2019-10,Finance/Insurance,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,"Papier perdu, volé ou laissé accessible dans un endroit non sécurisé",External-Malicious,TBD
832,2019-10,Finance/Insurance,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données de localisation",Oui,Hacking - Malware -Phishing,External-Malicious,TBD
833,2019-10,Scientific/Specialized/Technical,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données de localisation,La violation concerne d'autres données",Oui,Hacking - Malware -Phishing,External-Malicious,Yes
834,2019-10,Scientific/Specialized/Technical,Perte de la confidentialité,5000,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Hacking - Malware -Phishing,External-Malicious,Yes
835,2019-10,Information/Communication,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Documents officiels (Passeports, pièces d’identité, etc.)",,Other,Internal-Accidental,They_will
836,2019-10,Transport/Warehousing,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,"Données de la mauvaise personne affichées sur le portail du client,Données personnelles envoyées à un mauvais destinataire",Internal-Accidental,They_will
837,2019-10,Arts-Recreational,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,Recipient mistake,External-Accidental,Yes
838,2019-10,Public_Administration,Perte de la confidentialité,>5000,Civil-Contact-Access,,Other,External-Accidental,TBD
839,2019-10,Information/Communication,Perte de la confidentialité,5,Civil-Contact,,Publication mistake,Other,TBD
840,2019-10,Finance/Insurance,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,Recipient mistake,Internal-Accidental,Yes
841,2019-10,Public_Administration,Perte de la confidentialité,300,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,Recipient mistake,Internal-Accidental,TBD
842,2019-10,Public_Administration,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",Oui,Publication mistake,Internal-Accidental,They_will
843,2019-10,Information/Communication,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5000,Civil-Contact-Access,,Hacking - Malware -Phishing,External-Malicious,Yes
844,2019-10,Commerce,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5000,La violation concerne d'autres données,,Hacking - Malware -Phishing,External-Malicious,TBD
845,2019-10,Health,Perte de la confidentialité,50,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Publication mistake,External-Accidental,Yes
846,2019-10,Commerce,Perte de la disponibilité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données de localisation",Oui,Other,External-Accidental,They_will_not
847,2019-10,Finance/Insurance,Perte de la confidentialité,5000,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Hacking - Malware -Phishing,"Acte interne accidentel,Acte externe malveillant",They_will
848,2019-10,Education,Perte de l'intégrité,>5000,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données de localisation,La violation concerne d'autres données",,Other,Unknown,Yes
849,2019-10,Scientific/Specialized/Technical,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5000,La violation concerne d'autres données,,Hacking - Malware -Phishing,External-Malicious,TBD
850,2019-10,Public_Administration,Perte de la confidentialité,50,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,"Equipement perdu ou volé,Publication non volontaire d'informations",Unknown,Yes
851,2019-10,Administrative/Support_services,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.)",,Equipment Lost or Stolen,External-Malicious,They_will
852,2019-10,Health,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...)",Oui,Other,Internal-Malicious,TBD
853,2019-10,Health,Perte de la confidentialité,5,"Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",Oui,Other,External-Malicious,They_will
854,2019-10,Manufacturing,Perte de l'intégrité,5000,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,La violation concerne d'autres données",,Hacking - Malware -Phishing,"Acte externe malveillant,Inconnu",They_will
855,2019-10,Health,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données de localisation",,"Equipement perdu ou volé,Papier perdu, volé ou laissé accessible dans un endroit non sécurisé",External-Malicious,They_will_not
856,2019-10,Transport/Warehousing,Perte de la confidentialité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Hacking - Malware -Phishing,External-Malicious,TBD
857,2019-10,Public_Administration,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",Oui,Other,Other,TBD
858,2019-10,Scientific/Specialized/Technical,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Hacking - Malware -Phishing,Internal-Accidental,Yes
859,2019-10,Health,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),La violation concerne d'autres données",,Equipment Lost or Stolen,Internal-Accidental,They_will_not
860,2019-10,Manufacturing,"Perte de la confidentialité,Perte de l'intégrité",5,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Documents officiels (Passeports, pièces d’identité, etc.),La violation concerne d'autres données",,Other,External-Accidental,Yes
861,2019-10,Public_Administration,Perte de la confidentialité,5000,Contact,,Hacking - Malware -Phishing,External-Malicious,Yes
862,2019-10,Manufacturing,Perte de la confidentialité,>5000,Civil-Contact-Access,,Hacking - Malware -Phishing,External-Malicious,TBD
863,2019-10,Public_Administration,Perte de la confidentialité,300,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Publication mistake,External-Accidental,They_will
864,2019-10,Public_Administration,Perte de la confidentialité,5,TBD,,"Publication non volontaire d'informations,Données personnelles envoyées à un mauvais destinataire",Internal-Accidental,They_will_not
865,2019-10,Education,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,Hacking - Malware -Phishing,"Acte interne accidentel,Acte externe malveillant",They_will
866,2019-10,Public_Administration,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Les données concernées ne sont pas connues pour le moment,La violation concerne d'autres données",,Equipment Lost or Stolen,"Acte externe malveillant,Autre",TBD
867,2019-10,Information/Communication,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5,Contact,,"Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage,Données personnelles envoyées à un mauvais destinataire,Informations personnelles divulguées de façon verbale",Internal-Malicious,TBD
868,2019-10,Other_services,Perte de la confidentialité,5000,Contact,,Hacking - Malware -Phishing,External-Malicious,Yes
869,2019-10,Scientific/Specialized/Technical,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.)",Oui,Other,Internal-Accidental,They_will
870,2019-10,Other_services,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.)",,Hacking - Malware -Phishing,External-Malicious,They_will
871,2019-10,Finance/Insurance,Perte de la confidentialité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),La violation concerne d'autres données",,Other,External-Accidental,They_will_not
872,2019-10,Finance/Insurance,Perte de la confidentialité,5000,Contact,,Recipient mistake,Internal-Accidental,Yes
873,2019-10,Other_services,Perte de la confidentialité,5000,Civil-Contact,,Equipment Lost or Stolen,"Acte interne malveillant,Acte externe malveillant",They_will
874,2019-10,Scientific/Specialized/Technical,Perte de la confidentialité,300,Civil-Contact,,Hacking - Malware -Phishing,External-Malicious,TBD
875,2019-10,Health,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),La violation concerne d'autres données",Oui,Equipment Lost or Stolen,External-Malicious,They_will_not
876,2019-10,Public_Administration,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,Other,Unknown,TBD
877,2019-10,Health,Perte de la confidentialité,50,Civil-Contact,,Equipment Lost or Stolen,External-Malicious,TBD
878,2019-10,Information/Communication,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,Recipient mistake,Internal-Accidental,They_will
879,2019-10,Real_Estate,Perte de la confidentialité,300,Civil-Contact-Finance-Economic,,Equipment Lost or Stolen,Unknown,They_will_not
880,2019-10,Electricity/Gas/Steam/AC,Perte de la confidentialité,5,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Informations personnelles divulguées de façon verbale,Other,Yes
881,2019-10,Finance/Insurance,Perte de la confidentialité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire)",,Other,Internal-Accidental,They_will_not
882,2019-10,Information/Communication,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Documents officiels (Passeports, pièces d’identité, etc.)",Oui,Publication mistake,Internal-Accidental,They_will
883,2019-10,Commerce,"Perte de la confidentialité,Perte de l'intégrité",50,"Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Hacking - Malware -Phishing,Other,TBD
884,2019-10,Public_Administration,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",Oui,Données de la mauvaise personne affichées sur le portail du client,Internal-Accidental,They_will
885,2019-10,Commerce,Perte de l'intégrité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,Hacking - Malware -Phishing,External-Malicious,TBD
886,2019-10,Electricity/Gas/Steam/AC,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,Other,Internal-Accidental,TBD
887,2019-10,Finance/Insurance,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Recipient mistake,Internal-Accidental,TBD
888,2019-10,Finance/Insurance,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,"Papier perdu, volé ou laissé accessible dans un endroit non sécurisé",External-Malicious,They_will
